index,md5,url,dataset,model,scenario,member,variable,filename,timescale,grid,year,version
14902,357000c1e50980a457079ca734526131,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/pr/pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,pr,pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950_v2.0.nc,day,gn,1950,v2.0.nc
15046,dddab6e906fd10c1f3f7db9f838f9a37,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/tasmax/tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,tasmax,tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1950_v2.0.nc,day,gn,1950,v2.0.nc
14886,90a803eb0a36c0911995215f6638c856,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/pr/pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,pr,pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951_v2.0.nc,day,gn,1951,v2.0.nc
14990,a56be5d4cd065523f047e627267428eb,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/tasmax/tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,tasmax,tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1951_v2.0.nc,day,gn,1951,v2.0.nc
14883,213e89ed0c17301b67b4cf0f494f9a0f,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/pr/pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,pr,pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952_v2.0.nc,day,gn,1952,v2.0.nc
15008,4cf82eea8c433c2adaade2047c6a89e2,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/tasmax/tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,tasmax,tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1952_v2.0.nc,day,gn,1952,v2.0.nc
14884,62e619d0b203cb37f348cf879e7923c3,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/pr/pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,pr,pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953_v2.0.nc,day,gn,1953,v2.0.nc
14993,fdc71ddff14638fa932dc5b0eead6ed9,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/tasmax/tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,tasmax,tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1953_v2.0.nc,day,gn,1953,v2.0.nc
14917,77db700ad2cc220426d65cf82c2cd882,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/pr/pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,pr,pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954_v2.0.nc,day,gn,1954,v2.0.nc
15000,addaf87b01f28dd7937382d561429e84,NEX-GDDP-CMIP6/ACCESS-CM2/historical/r1i1p1f1/tasmax/tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954_v2.0.nc,NEX-GDDP-CMIP6,ACCESS-CM2,historical,r1i1p1f1,tasmax,tasmax_day_ACCESS-CM2_historical_r1i1p1f1_gn_1954_v2.0.nc,day,gn,1954,v2.0.nc
